output_dir,output_filename,travel_cost,conquer_cost,cost,
outputs-dijsktra-greedy,347.out,2302.0,15.0,2317.0,
outputs-dijsktra-greedy,348.out,14.0,5.0,19.0,
outputs-dijsktra-greedy,349.out,14.0,4.0,18.0,
outputs-dijsktra-greedy,35.out,214.0,103.0,317.0,
outputs-dijsktra-greedy,350.out,20.0,7.0,27.0,
outputs-dijsktra-greedy,351.out,1170.6554,479.0,1649.6554,
outputs-dijsktra-greedy,352.out,1337.8904000000002,513.0,1850.8904000000002,
outputs-dijsktra-greedy,353.out,966.0306999999999,380.0,1346.0306999999998,
outputs-dijsktra-greedy,354.out,2542.0,540.0,3082.0,
outputs-dijsktra-greedy,355.out,5086.0,1080.0,6166.0,
outputs-dijsktra-greedy,356.out,1270.0,270.0,1540.0,
outputs-dijsktra-greedy,357.out,162.0,85.0,247.0,
outputs-dijsktra-greedy,358.out,162.0,85.0,247.0,
outputs-dijsktra-greedy,359.out,162.0,85.0,247.0,
outputs-dijsktra-greedy,36.out,34.0,18.0,52.0,
outputs-dijsktra-greedy,360.out,1130.0,95.0,1225.0,
outputs-dijsktra-greedy,361.out,1658.0,128.0,1786.0,
outputs-dijsktra-greedy,362.out,1328.0,325.0,1653.0,
outputs-dijsktra-greedy,363.out,60.0,31.0,91.0,
outputs-dijsktra-greedy,364.out,74.0,29.0,103.0,
outputs-dijsktra-greedy,365.out,4.0,2.5,6.5,
outputs-dijsktra-greedy,366.out,972.0,839.0,1811.0,
outputs-dijsktra-greedy,367.out,1032.0,862.0,1894.0,
outputs-dijsktra-greedy,368.out,672.0,534.0,1206.0,
outputs-dijsktra-greedy,369.out,342.0,738.0,1080.0,
outputs-dijsktra-greedy,37.out,38.0,20.0,58.0,
outputs-dijsktra-greedy,370.out,962.0,2156.0,3118.0,
outputs-dijsktra-greedy,371.out,752.0,7428.0,8180.0,
outputs-dijsktra-greedy,372.out,67082888.37060001,1790190.0,68873078.37060001,
outputs-dijsktra-greedy,373.out,88951037.19740003,2338596.0,91289633.19740003,
outputs-dijsktra-greedy,374.out,53642928.566400014,1341270.0,54984198.566400014,
outputs-dijsktra-greedy,378.out,11099.057999999999,21420.0,32519.057999999997,
outputs-dijsktra-greedy,379.out,20965.798000000003,83132.0,104097.79800000001,
outputs-dijsktra-greedy,38.out,24.0,13.0,37.0,
outputs-dijsktra-greedy,380.out,5518.901999999999,5991.0,11509.901999999998,
outputs-dijsktra-greedy,381.out,5158.0,2712.0,7870.0,
outputs-dijsktra-greedy,382.out,8672.0,5456.0,14128.0,
outputs-dijsktra-greedy,383.out,1736.0,1154.0,2890.0,
outputs-dijsktra-greedy,384.out,130.0,59.0,189.0,
outputs-dijsktra-greedy,385.out,128.0,52.0,180.0,
outputs-dijsktra-greedy,386.out,152.0,70.0,222.0,
outputs-dijsktra-greedy,387.out,72740.0,79228.0,151968.0,
outputs-dijsktra-greedy,388.out,115270.0,94308.0,209578.0,
outputs-dijsktra-greedy,389.out,64786.0,66212.0,130998.0,
outputs-dijsktra-greedy,39.out,19.200000000000003,348.0,367.2,
outputs-dijsktra-greedy,390.out,37759972510.0,18011886712.0,55771859222.0,
outputs-dijsktra-greedy,391.out,69542277202.0,45087113635.0,114629390837.0,
outputs-dijsktra-greedy,392.out,38797447750.0,19865323091.0,58662770841.0,
outputs-dijsktra-greedy,393.out,0.002,2000000000.0,2000000000.002,
outputs-dijsktra-greedy,394.out,46183125430.0,28948908619.0,75132034049.0,
outputs-dijsktra-greedy,395.out,29467736638.0,17952990251.0,47420726889.0,
outputs-dijsktra-greedy,396.out,1008.0,349.0,1357.0,
outputs-dijsktra-greedy,397.out,2176.0,786.0,2962.0,
outputs-dijsktra-greedy,398.out,504.0,212.0,716.0,
outputs-dijsktra-greedy,399.out,11.46,25.0,36.46,
outputs-dijsktra-greedy,4.out,318.0,139.0,457.0,
outputs-dijsktra-greedy,40.out,10056.0,75.0,10131.0,
outputs-dijsktra-greedy,400.out,56.0,57.0,113.0,
outputs-dijsktra-greedy,401.out,7.460000000000001,200.0,207.46,
outputs-dijsktra-greedy,402.out,2424.0,1005.0,3429.0,
outputs-dijsktra-greedy,403.out,11616.0,5800.0,17416.0,
outputs-dijsktra-greedy,404.out,978.0,341.0,1319.0,
outputs-dijsktra-greedy,405.out,8330852498.680159,5434397193.698241,13765249692.378399,
