output_dir,output_filename,travel_cost,conquer_cost,cost
outputs-concorde,301.out,10847270.0,13611497.0,24458767.0
outputs-concorde,302.out,122249.0,47753.0,170002.0
outputs-concorde,303.out,317.0,297.0,614.0
outputs-concorde,304.out,1077.0,617.0,1694.0
outputs-concorde,305.out,270.0,161.0,431.0
outputs-concorde,306.out,101.68476000000001,39.350770000000004,141.03553000000002
outputs-concorde,307.out,61.489,26.942520000000002,88.43152
outputs-concorde,308.out,55.204620000000006,57.013270000000006,112.21789000000001
outputs-concorde,309.out,1640.0,860.0,2500.0
outputs-concorde,31.out,668.8752499999999,1126.9283200000002,1795.80357
outputs-concorde,311.out,613.0,816.0,1429.0
outputs-concorde,312.out,2984483716.0,3077783112.0,6062266828.0
outputs-concorde,313.out,5962317970.0,7092094194.0,13054412164.0
outputs-concorde,314.out,2019843566.0,2022333619.0,4042177185.0
outputs-concorde,315.out,162.0,124.0,286.0
outputs-concorde,316.out,292.0,268.0,560.0
outputs-concorde,317.out,76.0,60.0,136.0
outputs-concorde,318.out,211.0,539.0,750.0
outputs-concorde,319.out,54.0,41.0,95.0
outputs-concorde,32.out,145.79897999999997,260.13688,405.93586
outputs-concorde,320.out,109.0,191.0,300.0
outputs-concorde,322.out,235.0,59777.0,60012.0
outputs-concorde,323.out,244.0,66941.0,67185.0
outputs-concorde,324.out,142.0,160.0,302.0
outputs-concorde,325.out,330.0,35.0,365.0
outputs-concorde,326.out,39.0,18.0,57.0
outputs-concorde,327.out,41024.0,27403.0,68427.0
outputs-concorde,328.out,15389.0,8275.0,23664.0
outputs-concorde,329.out,1220.0,534.0,1754.0
outputs-concorde,33.out,644.0,264.0,908.0
outputs-concorde,330.out,174.0,163.0,337.0
outputs-concorde,331.out,174.0,163.0,337.0
outputs-concorde,332.out,104.0,105.0,209.0
outputs-concorde,333.out,17595101.22,8447301.38,26042402.6
outputs-concorde,334.out,38352565.63999999,20640324.760000005,58992890.4
outputs-concorde,335.out,3840888.8,4083712.1999999997,7924601.0
outputs-concorde,339.out,4114.0,3178.0,7292.0
outputs-concorde,34.out,1636.0,768.0,2404.0
outputs-concorde,340.out,8090.0,8458.0,16548.0
outputs-concorde,341.out,3331.0,2365.0,5696.0
outputs-concorde,342.out,367.0,272.0,639.0
outputs-concorde,343.out,984.0,794.0,1778.0
outputs-concorde,344.out,184.0,161.0,345.0
